EmployeeID,FirstName,LastName,FullName,DateOfJoining,DateOfBirth,Age,WorkLocation,DateOfLeaving,Salary,ManagerID,Department,ReasonForLeaving,Gender,JobRole,PerformanceRating
E000001,Randall,Davis,Randall Davis,11/4/2022,6/11/1981,43,Simonfurt,6/2/2023,66709,M0055,Operations,Relocation,Female,Engineer,1
E000002,Steven,Henry,Steven Henry,1/5/2021,14/09/1970,54,East Lauren,17/11/2023,107054,M0035,IT,Relocation,Female,Executive,3
E000003,Deborah,Brown,Deborah Brown,17/05/2021,16/02/1970,54,North Georgehaven,18/03/2022,94306,M0069,Operations,Resigned,Other,Engineer,4
E000004,Susan,Munoz,Susan Munoz,6/12/2023,12/6/1982,42,Davidstad,29/12/2024,50016,M0020,Operations,Retired,Other,Executive,2
E000005,Danielle,Swanson,Danielle Swanson,27/06/2021,11/7/1981,43,Turnerport,20/11/2023,,M0071,HR,Better Opportunity,Male,Analyst,2
E000006,Amanda,Wilson,Amanda Wilson,3/10/2024,24/07/1974,50,Port Julie,25/01/2025,106145,M0108,Finance,Better Opportunity,Other,Executive,1
E000007,Erin,Moore,Erin Moore,3/5/2022,24/11/1966,58,Jocelynhaven,15/01/2025,192504,M0014,Marketing,Health Issues,Other,Executive,5
E000008,Rebecca,Skinner,Rebecca Skinner,17/07/2023,4/6/1984,40,West Vincentburgh,22/07/2024,131930,M0033,Operations,Health Issues,Other,Manager,1
E000009,Kathryn,Ramirez,Kathryn Ramirez,21/12/2023,10/1/1979,46,Herreramouth,26/04/2024,,M0077,IT,Better Opportunity,Other,Executive,3
E000010,Christopher,Roman,Christopher Roman,11/7/2023,13/10/1977,47,Lake Sheliaview,6/1/2024,166688,M0056,Sales,Terminated,Female,Executive,5
E000011,Tiffany,Hobbs,Tiffany Hobbs,6/1/2021,18/04/1965,59,Port Johnny,3/10/2025,113534,M0118,Operations,Retired,Male,Analyst,2
E000012,Jose,Logan,Jose Logan,24/08/2024,27/07/1986,38,Alexisshire,12/4/2025,189964,M0070,HR,Retired,Female,Executive,1
E000013,Gerald,Cummings,Gerald Cummings,15/10/2021,3/11/1982,42,Lake Jessica,16/02/2024,108250,M0023,IT,Resigned,Male,Engineer,5
E000014,James,Young,James Young,16/11/2023,17/05/1981,43,Port Jefferyfurt,13/06/2025,75113,M0018,HR,Better Opportunity,Other,Consultant,4
E000015,John,Holmes,John Holmes,11/2/2024,3/9/1979,45,Lake Jessicachester,27/11/2025,149000,M0017,Sales,Relocation,Male,Manager,2
E000016,Michael,Fischer,Michael Fischer,4/12/2024,25/03/1989,35,Delgadoshire,20/07/2025,124383,M0115,HR,Relocation,Other,Manager,1
E000017,Richard,Norton,Richard Norton,7/12/2024,17/04/1984,40,New Charles,17/05/2025,,M0043,Finance,Health Issues,Other,Engineer,5
E000018,Lindsey,Murphy,Lindsey Murphy,27/07/2023,6/2/1995,29,New Calebmouth,4/12/2023,196860,M0076,HR,Retired,Female,Analyst,3
E000019,Brooke,Hunter,Brooke Hunter,11/9/2022,30/03/1966,58,Lake Kelly,6/6/2025,135271,M0038,Finance,Relocation,Other,Executive,3
E000020,Amanda,Lewis,Amanda Lewis,9/4/2024,4/9/1971,53,West Suzanne,23/07/2024,88049,M0052,Sales,Retired,Female,Executive,1
E000021,Mason,Morales,Mason Morales,5/6/2022,13/01/1975,50,Martinezburgh,22/11/2022,130949,M0086,Engineering,Retired,Female,Analyst,4
E000022,Danielle,Vazquez,Danielle Vazquez,9/9/2023,26/05/1984,40,West Matthew,13/07/2025,195292,M0053,Sales,Resigned,Female,Analyst,3
E000023,Julie,Medina,Julie Medina,27/01/2021,22/07/1992,32,West Steventon,8/5/2024,107426,M0083,HR,Better Opportunity,Female,Manager,1
E000024,Brian,Potter,Brian Potter,29/08/2021,31/03/1968,56,Aguilarmouth,8/6/2023,126180,M0013,IT,Health Issues,Other,Consultant,5
E000025,Troy,Collins,Troy Collins,16/08/2021,14/05/1981,43,Sarahberg,13/09/2021,50795,M0039,,Health Issues,Female,Analyst,2
E000026,Maria,Lara,Maria Lara,30/10/2023,13/01/1996,28,Stephenmouth,12/10/2025,46153,M0059,Engineering,Retired,Male,Analyst,3
E000027,Gregory,Palmer,Gregory Palmer,12/3/2022,11/3/1980,44,Josehaven,21/06/2025,86305,M0007,Engineering,Retired,Female,Manager,1
E000028,Joe,Diaz,Joe Diaz,28/08/2024,27/07/1970,54,South Rachelhaven,31/07/2025,193272,M0030,Marketing,Retired,Female,Manager,4
E000029,Christopher,Patel,Christopher Patel,14/08/2023,7/8/1991,33,South Gregoryshire,7/3/2024,168857,M0032,Engineering,Better Opportunity,Male,Manager,3
E000030,Jason,Ferguson,Jason Ferguson,11/9/2021,6/5/1980,44,South Luis,11/5/2022,168631,M0093,HR,Resigned,Other,Executive,3
E000031,Jennifer,Flowers,Jennifer Flowers,27/04/2021,5/4/1969,55,Brianaberg,25/02/2023,30815,M0106,Finance,Retired,Other,Executive,3
E003392,Andrea,Mcmillan,Andrea Mcmillan,9/9/2021,22/03/1988,36,New Vanessafort,12/5/2025,62334,M0010,Operations,Retired,Male,Consultant,1
E000033,Bethany,Brown,Bethany Brown,25/07/2022,25/09/1992,32,Christophershire,25/11/2024,171678,M0066,,Resigned,Other,Consultant,1
E000034,Melissa,Benton,Melissa Benton,1/8/2022,30/09/1987,37,North Shannon,25/03/2023,45000,M0067,HR,Retired,Female,Executive,2
E000035,Kristin,Wilson,Kristin Wilson,11/8/2024,9/11/2001,23,New Stacyberg,2/9/2025,181567,M0102,,Terminated,Female,Analyst,4
E000036,Stephen,Allen,Stephen Allen,10/6/2023,11/3/1989,,Michelleborough,31/07/2023,104824,M0099,Marketing,Resigned,Female,Engineer,1
E000037,Jane,Luna,Jane Luna,11/12/2022,25/04/1972,52,East Jamesside,26/04/2023,41295,M0082,Finance,Resigned,Male,Executive,4
E000038,Kristen,Tate,Kristen Tate,25/08/2023,4/11/1975,49,Shawnmouth,2/11/2025,126936,M0112,Finance,Retired,Other,Engineer,3
E000039,Nicholas,Cordova,Nicholas Cordova,23/11/2022,13/04/2000,,East Justin,30/08/2025,186924,M0020,HR,Better Opportunity,Female,Engineer,1
E000040,John,Reed,John Reed,19/03/2023,27/05/1995,,South Tina,23/08/2024,167425,M0010,Marketing,Relocation,Other,Manager,5
E000041,Vickie,Walker,Vickie Walker,27/09/2022,1/2/1992,32,Port Karenhaven,10/9/2025,97460,M0104,Marketing,Relocation,Other,Executive,3
E000042,Steven,Smith,Steven Smith,31/08/2022,12/1/1997,27,Lopezside,12/2/2025,83623,M0011,HR,Terminated,Other,Analyst,1
